BUCKET,DIAS_MORA,DIAS_INCUMPLIMIENTO,MET_CALCULO,MARCA_DEFAULT,PDI,RANGO_SCORE_PN,seg_PD12mes,PD_12M_ACTUAL_FINAL,PD_12M_DESEMBOLSO_FINAL,PD_LIFETIME_ACTUAL_FINAL,PD_LIFETIME_DESEMBOLSO_FINAL,EXPOSICION_TOTAL_FA,VALOR_PROVISION,cobertura,target
1,0,,ECL_12M,0,0.50798,3.0,PN_CREDITOFACIL,0.0397638215999999,0.0397638215999999,0.2590312752538461,0.2573934321846154,273899.39400000003,5725.253269768999,0.0209027599008451,Al dia
1,0,,ECL_12M,0,0.50798,3.0,PN_CREDITOFACIL,0.0416319205999999,0.0416319205999999,0.3287970022681818,0.3209171599590908,364995.9701,7718.9950191,0.0211481650523023,Al dia
1,0,,ECL_12M,0,0.50798,3.0,PN_CREDITOFACIL,0.0412849879299999,0.0412849879299999,0.2724177311266667,0.2980616889233333,433308.42499999993,9147.412983737,0.0211106280329929,Al dia
1,0,,ECL_12M,0,0.50798,3.0,PN_CREDITOFACIL,0.0402441899142857,0.0402441899142857,0.2894019390914286,0.3025631721571428,498604.8753999998,10428.395733326995,0.0209151499470616,Al dia
1,0,,ECL_12M,0,0.50798,3.0,PN_CREDITOFACIL,0.040764588925,0.040764588925,0.3759854453,0.3094039945,71333.86,1498.82188253,0.0210113665870597,Al dia
1,0,,ECL_12M,0,0.50798,3.0,PN_CREDITOFACIL,0.0371713576857142,0.0371713576857142,0.3761494053285714,0.4438085920142857,119716.6114,2524.9041985539,0.0210906754628865,Al dia
1,0,,ECL_12M,0,0.50798,3.0,PN_CREDITOFACIL,0.0416319206,0.0416319206,0.5860615979999999,0.6061233577,10018.8882,211.88110129,0.0211481650518866,Al dia
1,0,,ECL_12M,0,0.50798,3.0,PN_CREDITOFACIL,0.03642793055,0.03642793055,0.2733241941,0.3575828615,123714.07,2602.819296032,0.0210389917333735,Al dia
1,0,,ECL_12M,0,0.50798,3.0,PN_CREDITOFACIL,0.0389748660602053,0.0389748660602053,0.1526260486874074,0.2149502798738201,43588011.25110001,907766.894847046,0.020826068196083,Al dia
1,0,,ECL_12M,0,0.50798,4.0,PN_CREDITOFACIL,0.0652261159,0.0652261159,0.4798055089,0.380334921775,116756.5168,3868.556041628001,0.0331335341928254,Al dia
1,0,,ECL_12M,0,0.50798,4.0,PN_CREDITOFACIL,0.0525432600333333,0.0525432600333333,0.4441822685333332,0.2886204514666666,124733.7014,4107.768769439,0.0329323087772892,Al dia
1,0,,ECL_12M,0,0.50798,4.0,PN_CREDITOFACIL,0.06196481011,0.06196481011,0.6040562193500001,0.48147617528,168482.8045,5526.654133500001,0.0328024818313135,Al dia
1,0,,ECL_12M,0,0.50798,4.0,PN_CREDITOFACIL,0.0590494003818182,0.0590494003818182,0.2745897789409091,0.2678085094090909,342048.2909,11247.987056443002,0.0328842077440212,Al dia
1,0,,ECL_12M,0,0.50798,4.0,PN_CREDITOFACIL,0.0628966117571428,0.0628966117571428,0.4387051622714285,0.4570984043285714,87547.1736,2890.4434863580004,0.0330158401179727,Al dia
1,0,,ECL_12M,0,0.50798,4.0,PN_CREDITOFACIL,0.06087770818,0.06087770818,0.4723284828199999,0.4778387549399999,93853.8652,3089.311370572,0.0329161869251603,Al dia
1,0,,ECL_12M,0,0.50798,4.0,PN_CREDITOFACIL,0.0652261159,0.0652261159,0.2626813489,0.3314419892,11101.28,367.82464047,0.0331335341933542,Al dia
