BUCKET,DIAS_MORA,DIAS_INCUMPLIMIENTO,MET_CALCULO,MARCA_DEFAULT,PDI,RANGO_SCORE_PN,seg_PD12mes,PD_12M_ACTUAL_FINAL,PD_12M_DESEMBOLSO_FINAL,PD_LIFETIME_ACTUAL_FINAL,PD_LIFETIME_DESEMBOLSO_FINAL,EXPOSICION_TOTAL_FA,VALOR_PROVISION,cobertura,target
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.0,1.6721499608622852,0.3259102777,0.3259102777,0.3041165853,0.0669763782,1.6721499608622852,1.6721499608622852,0.1655557620874855,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.4253764014136365,0.4253764014136365,0.4323103115636364,0.2206041755272726,1.6721499608622852,1.6721499608622852,0.2384668918110992,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.445730232736765,0.445730232736765,0.4571129389838233,0.2459206224176471,1.6721499608622852,1.6721499608622852,0.2530059858024717,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.4345470369333336,0.4345470369333336,0.4550067346279998,0.2577695789026667,1.6721499608622852,1.6721499608622852,0.2547760311189569,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.3431167209326088,0.3431167209326088,0.404522922223913,0.2173046986260869,1.6721499608622852,1.6721499608622852,0.2509354537967262,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.5014004272307695,0.5014004272307695,0.5874929526820514,0.4314937412641026,1.6721499608622852,1.6721499608622852,0.2768771842287549,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.4202858407405407,0.4202858407405407,0.4205548001054053,0.2178681980027026,1.6721499608622852,1.6721499608622852,0.2552755123044399,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.4394850714439391,0.4394850714439391,0.5059867284295457,0.3053618192681816,1.6721499608622852,1.6721499608622852,0.2667333954128042,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.4470074344552885,0.4470074344552885,0.4779235938543271,0.2460404798927886,1.6721499608622852,1.6721499608622852,0.2595555365525896,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.1786299999999999,1.6721499608622852,1.6721499608622852,0.0217048702,0.0217048702,1.0,0.4634286072,1.6721499608622852,1.6721499608622852,0.0038770741332919,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.1786299999999999,1.6721499608622852,1.6721499608622852,0.0416319206,0.0416319206,0.9584023097,0.7080470022,1.6721499608622852,1.6721499608622852,0.0074365817957264,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.1786299999999999,1.6721499608622852,1.6721499608622852,0.0652261159,0.0652261159,0.3890171687,0.39219892275,1.6721499608622852,1.6721499608622852,0.0116511402574891,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.1786299999999999,1.6721499608622852,1.6721499608622852,0.0859888821,0.0859888821,0.9990197731,0.9011054002,1.6721499608622852,1.6721499608622852,0.0153599292550781,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.1786299999999999,1.6721499608622852,1.6721499608622852,0.1491549003,0.1491549003,0.9998514278,0.9086443353,1.6721499608622852,1.6721499608622852,0.0266430805981684,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.0,1.6721499608622852,0.0169324702,0.0169324702,0.6050035819,0.6082637877,1.6721499608622852,1.6721499608622852,0.0086013488826107,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.0,1.6721499608622852,0.0169324702,0.0169324702,0.0300610434,0.3924030613,1.6721499608622852,1.6721499608622852,0.0086013488827277,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.0,1.6721499608622852,0.0169324702,0.0169324702,0.1022213555,0.1225154607,1.6721499608622852,1.6721499608622852,0.0086013488828097,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.0,1.6721499608622852,0.0153123881678063,0.0153123881678063,0.0514133085270655,0.1372670721974356,1.6721499608622852,1.6721499608622852,0.0081543843277462,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.0193793483857142,0.0193793483857142,0.4019557481571429,0.2337028205428571,1.6721499608622852,1.6721499608622852,0.0109688545777424,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.0217048702,0.0217048702,0.2611390663666667,0.2247709272888889,1.6721499608622852,1.6721499608622852,0.0110256305840072,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.0217048702,0.0217048702,0.4114693886,0.28819882588,1.6721499608622852,1.6721499608622852,0.0110256305842729,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.0215657364153846,0.0215657364153846,0.1967889361846154,0.2381103640076922,1.6721499608622852,1.6721499608622852,0.0110229738581098,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.01266117425,0.01266117425,0.00679372635,0.11164559,1.6721499608622852,1.6721499608622852,0.0050085196329644,0
1.0,0.0,0.0,1.6721499608622852,0.0,0.50798,1.6721499608622852,1.6721499608622852,0.0217048702,0.0217048702,0.0546895882,0.0436018853,1.6721499608622852,1.6721499608622852,0.011025630583968,0
